date,rule Inewt,Inewt0,Inewt1,Inewt2,Inewt3,Inewt4,Inewt5,Inewt6,Inewt7,Inewt8,Inewt9
2019/12/27,28,28,28,28,28,28,28,28,28,28,28
2019/12/28,14,14,13,13,14,14,13,14,14,13,13
2019/12/29,17,18,21,20,20,18,17,20,20,21,20
2019/12/30,24,27,28,29,28,27,30,29,27,30,25
2019/12/31,18,25,27,30,30,27,28,28,24,28,26
2020/1/1,75,66,58,56,66,59,63,59,66,52,60
2020/1/2,62,56,56,58,54,57,56,49,55,59,50
2020/1/3,71,66,60,56,59,59,60,63,56,66,65
2020/1/4,47,57,57,59,52,60,60,57,59,61,59
2020/1/5,81,65,67,67,72,69,63,68,65,62,66
2020/1/6,62,75,79,71,73,72,77,82,78,76,72
2020/1/7,72,93,86,92,88,89,86,85,82,85,88
2020/1/8,127,109,107,113,104,107,109,108,114,109,106
2020/1/9,120,132,132,128,139,128,137,125,131,130,127
2020/1/10,187,158,155,155,149,157,149,154,155,160,157
2020/1/11,162,189,185,180,185,182,186,184,184,183,187
2020/1/12,220,220,215,212,222,221,224,215,226,223,216
2020/1/13,287,259,263,265,262,264,254,263,260,255,257
2020/1/14,300,316,319,318,314,304,315,317,320,317,317
2020/1/15,397,380,382,373,363,372,375,373,381,390,371
2020/1/16,458,455,441,435,449,453,464,446,444,442,451
2020/1/17,586,545,565,551,551,540,546,556,552,548,550
2020/1/18,644,665,669,679,681,679,676,673,679,682,688
2020/1/19,687,828,826,835,837,831,829,823,833,826,819
2020/1/20,1253,1019,1000,1011,1014,1001,1006,995,1007,1012,1028
2020/1/21,1221,1214,1232,1241,1208,1220,1236,1202,1205,1213,1198
2020/1/22,1546,1428,1442,1442,1436,1422,1429,1448,1436,1435,1444
2020/1/23,1927,1612,1588,1600,1619,1622,1641,1625,1602,1598,1636
2020/1/24,2039,1756,1778,1756,1783,1781,1787,1773,1783,1786,1747
2020/1/25,2041,1880,1880,1882,1856,1850,1844,1870,1883,1866,1863
2020/1/26,2093,1922,1892,1927,1914,1911,1900,1896,1909,1917,1927
2020/1/27,1961,1892,1916,1874,1910,1895,1876,1873,1895,1898,1894
2020/1/28,2012,1854,1868,1847,1864,1870,1897,1863,1863,1872,1859
2020/1/29,1632,1849,1821,1854,1801,1843,1844,1856,1810,1827,1816
2020/1/30,1899,1864,1861,1858,1871,1856,1845,1854,1886,1856,1881
2020/1/31,1902,1930,1950,1937,1961,1928,1943,1959,1952,1930,1946
2020/2/1,1664,1986,1976,1964,1969,1965,1951,1941,1949,1970,1951
2020/2/2,3363,1933,1922,1943,1941,1958,1956,1949,1945,1944,1955
2020/2/3,1632,1876,1893,1886,1875,1873,1884,1870,1888,1871,1870
2020/2/4,1521,1693,1699,1696,1693,1705,1702,1718,1687,1702,1707
2020/2/5,1625,1486,1494,1493,1485,1477,1474,1481,1489,1480,1490
2020/2/6,1267,1314,1308,1310,1314,1319,1310,1304,1315,1314,1307
2020/2/7,1235,1204,1191,1204,1195,1198,1200,1202,1197,1202,1196
2020/2/8,1163,1117,1119,1115,1131,1120,1116,1116,1123,1119,1118
2020/2/9,854,1056,1060,1058,1059,1069,1066,1062,1058,1056,1064
2020/2/10,1241,1019,1017,1019,1015,1009,1017,1021,1012,1015,1018
2020/2/11,867,979,990,989,977,981,991,977,985,984,985
2020/2/12,1022,931,922,926,932,929,923,932,931,928,922
2020/2/13,957,841,841,845,840,846,839,840,841,840,840
2020/2/14,742,761,757,756,764,761,766,764,760,766,762
2020/2/15,579,681,682,684,683,674,683,681,683,685,681
2020/2/16,521,608,604,598,602,611,602,601,607,597,608
2020/2/17,699,531,531,535,525,533,531,530,526,534,531
2020/2/18,578,461,463,468,467,464,460,467,464,465,462
2020/2/19,299,388,391,386,397,392,393,393,392,391,394
2020/2/20,262,311,315,308,306,308,312,312,308,312,311
2020/2/21,255,247,246,248,245,248,246,245,247,249,247
2020/2/22,235,211,212,211,215,213,210,213,215,214,212
2020/2/23,155,192,187,193,189,189,189,189,191,185,188
2020/2/24,175,167,168,163,167,164,166,165,164,164,168
