date,Inewt,No. of  Designated  Hospital daily new  Beds,No. of  Fangcang  Hospital daily new  Beds,Number of patients admitted to designated hospitals,Number of patients admitted to fangcang hospital
12月7日,0,0,0,0,0
12月8日,1,0,0,0,0
12月9日,0,0,0,0,0
12月10日,0,0,0,0,0
12月11日,1,0,0,0,0
12月12日,4,0,0,0,0
12月13日,0,0,0,0,0
12月14日,0,0,0,0,0
12月15日,4,0,0,0,0
12月16日,1,0,0,0,0
12月17日,8,0,0,0,0
12月18日,3,0,0,0,0
12月19日,2,0,0,0,0
12月20日,13,0,0,0,0
12月21日,6,0,0,0,0
12月22日,12,0,0,0,0
12月23日,15,0,0,0,0
12月24日,13,0,0,0,0
12月25日,14,0,0,0,0
12月26日,12,0,0,0,0
12月27日,28,0,0,0,0
12月28日,14,0,0,0,0
12月29日,17,0,0,0,0
12月30日,24,0,0,0,0
12月31日,18,0,0,0,0
1月1日,75,0,0,0,0
1月2日,62,0,0,0,0
1月3日,71,0,0,0,0
1月4日,47,0,0,0,0
1月5日,81,0,0,0,0
1月6日,62,0,0,0,0
1月7日,72,0,0,0,0
1月8日,127,0,0,0,0
1月9日,120,0,0,0,0
1月10日,187,2,0,41,0
1月11日,162,4,0,0,0
1月12日,220,1,0,0,0
1月13日,287,0,0,0,0
1月14日,300,0,0,3,0
1月15日,397,5,0,15,0
1月16日,458,3,0,3,0
1月17日,586,4,0,59,0
1月18日,644,5,0,77,0
1月19日,687,1,0,60,0
1月20日,1253,0,0,105,0
1月21日,1221,897,0,559,0
1月22日,1546,558,0,558,0
1月23日,1927,707,0,733,0
1月24日,2039,881,0,897,0
1月25日,2041,932,0,947,0
1月26日,2093,934,0,954,0
1月27日,1961,875,0,899,0
1月28日,2012,225,0,251,0
1月29日,1632,182,0,210,0
1月30日,1899,212,0,286,0
1月31日,1902,213,0,254,0
2月1日,1664,113,0,274,0
2月2日,3363,505,0,608,0
2月3日,1632,940,0,1074,0
2月4日,1521,55,0,22,0
2月5日,1625,320,0,715,0
2月6日,1267,321,2425,485,1257
2月7日,1235,162,1475,369,768
2月8日,1163,255,0,255,475
2月9日,854,988,0,1049,537
2月10日,1241,2137,0,2240,276
2月11日,867,485,1475,914,1515
2月12日,1022,1347,1575,1614,722
2月13日,957,749,300,896,700
2月14日,742,967,500,1364,400
2月15日,579,1277,0,1862,925
2月16日,521,1554,0,1424,388
2月17日,699,345,1925,807,562
2月18日,578,766,75,1099,1250
2月19日,299,62,500,953,475
2月20日,262,1000,1875,973,250
2月21日,255,733,0,547,225
2月22日,235,959,0,843,300
2月23日,155,754,0,917,75
2月24日,175,97,541,962,350
2月25日,185,846,0,1208,103
2月26日,107,0,0,1286,62
2月27日,95,0,0,1804,100
2月28日,72,0,0,1927,175
2月29日,47,0,0,1254,25
3月1日,50,0,0,994,75
3月2日,27,0,0,111,0
3月3日,27,0,0,114,0
3月4日,12,0,0,131,0
3月5日,22,0,0,126,0
3月6日,4,0,0,74,0
3月7日,4,0,0,41,0
3月8日,4,0,0,36,0
3月9日,0,0,0,0,0
3月10日,0,0,0,0,0
3月11日,0,0,0,0,0
3月12日,0,0,0,0,0
3月13日,0,0,0,0,0
3月14日,0,0,0,0,0
3月15日,0,0,0,0,0
3月16日,0,0,0,0,0
3月17日,0,0,0,0,0
3月18日,0,0,0,0,0
3月19日,0,0,0,0,0
3月20日,0,0,0,0,0
3月21日,0,0,0,0,0
3月22日,0,0,0,0,0
3月23日,0,0,0,0,0
3月24日,0,0,0,0,0
3月25日,0,0,0,0,0
3月26日,0,0,0,0,0
3月27日,0,0,0,0,0
3月28日,0,0,0,0,0
3月29日,0,0,0,0,0
3月30日,0,0,0,0,0
3月31日,0,0,0,0,0
4月1日,0,0,0,0,0
4月2日,0,0,0,0,0
4月3日,0,0,0,0,0
4月4日,0,0,0,0,0
4月5日,0,0,0,0,0
4月6日,0,0,0,0,0
4月7日,0,0,0,0,0
4月8日,0,0,0,0,0
4月9日,0,0,0,0,0
4月10日,0,0,0,0,0
4月11日,0,0,0,0,0
4月12日,0,0,0,0,0
4月13日,0,0,0,0,0
4月14日,0,0,0,0,0
4月15日,0,0,0,0,0
