date,population in,population out
2020/12/7,0,0
2020/12/8,0,0
2020/12/9,0,0
2020/12/10,0,0
2020/12/11,0,0
2020/12/12,0,0
2020/12/13,0,0
2020/12/14,0,0
2020/12/15,0,0
2020/12/16,0,0
2020/12/17,0,0
2020/12/18,0,0
2020/12/19,0,0
2020/12/20,0,0
2020/12/21,0,0
2020/12/22,0,0
2020/12/23,0,0
2020/12/24,0,0
2020/12/25,0,0
2020/12/26,0,0
2020/12/27,442681,402364
2020/12/28,449345,414563
2020/12/29,444238,445953
2020/12/30,440562,475681
2020/12/31,450231,486943
2020/1/1,457550,525553
2020/1/2,456390,450164
2020/1/3,426403,461397
2020/1/4,397123,463059
2020/1/5,437539,421226
2020/1/6,388139,430367
2020/1/7,377332,463653
2020/1/8,396838,542354
2020/1/9,378027,553714
2020/1/10,423621,628798
2020/1/11,433716,661245
2020/1/12,504049,570895
2020/1/13,426155,546357
2020/1/14,340894,443603
2020/1/15,332274,462946
2020/1/16,348311,476793
2020/1/17,360050,502735
2020/1/18,402406,578278
2020/1/19,425606,636521
2020/1/20,435377,718369
2020/1/21,300216,720872
2020/1/22,223394,639957
2020/1/23,121091,384952
2020/1/24,0,0
2020/1/25,0,0
2020/1/26,0,0
2020/1/27,0,0
2020/1/28,0,0
2020/1/29,0,0
2020/1/30,0,0
2020/1/31,0,0
2020/2/1,0,0
2020/2/2,0,0
2020/2/3,0,0
2020/2/4,0,0
2020/2/5,0,0
2020/2/6,0,0
2020/2/7,0,0
2020/2/8,0,0
2020/2/9,0,0
2020/2/10,0,0
2020/2/11,0,0
2020/2/12,0,0
2020/2/13,0,0
2020/2/14,0,0
2020/2/15,0,0
2020/2/16,0,0
2020/2/17,0,0
2020/2/18,0,0
2020/2/19,0,0
2020/2/20,0,0
2020/2/21,0,0
2020/2/22,0,0
2020/2/23,0,0
2020/2/24,0,0
2020/2/25,0,0
2020/2/26,0,0
2020/2/27,0,0
2020/2/28,0,0
2020/2/29,0,0
2020/3/1,0,0
2020/3/2,0,0
2020/3/3,0,0
2020/3/4,0,0
2020/3/5,0,0
2020/3/6,0,0
2020/3/7,0,0
2020/3/8,0,0
2020/3/9,0,0
2020/3/10,0,0
2020/3/11,0,0
2020/3/12,0,0
2020/3/13,0,0
2020/3/14,0,0
2020/3/15,0,0
2020/3/16,0,0
2020/3/17,0,0
2020/3/18,0,0
2020/3/19,0,0
2020/3/20,0,0
2020/3/21,0,0
2020/3/22,0,0
2020/3/23,0,0
2020/3/24,0,0
2020/3/25,0,0
2020/3/26,0,0
2020/3/27,0,0
2020/3/28,0,0
2020/3/29,0,0
2020/3/30,0,0
2020/3/31,0,0
2020/4/1,0,0
2020/4/2,0,0
2020/4/3,0,0
2020/4/4,0,0
2020/4/5,0,0
2020/4/6,0,0
2020/4/7,0,0
2020/4/8,0,0
2020/4/9,0,0
2020/4/10,0,0
2020/4/11,0,0
2020/4/12,0,0
2020/4/13,0,0
2020/4/14,0,0
2020/4/15,0,0
